id,mistake_type,mistake_category,description,root_cause_analysis,context_when_occurred,impact_severity,prevention_strategy,identified_at,resolved,description_clean,context_clean,root_cause_clean,prevention_clean,full_text,description_length,context_length,has_root_cause,has_prevention,has_traceback,has_exception,has_timeout,has_connection,has_file,has_permission,has_null,has_syntax,hour,day_of_week,is_business_hours,severity_encoded,is_resolved,mistake_category_clean,category_target,has_fix
101,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-09 17:33:42,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,17,6,1,1,0,unknown,unknown,0
100,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-09 17:33:37,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,17,6,1,1,0,unknown,unknown,0
99,runtime_error,,Maximum update depth exceeded. This can happen when a component repeatedly calls setState inside componentWillUpdate or componentDidUpdate. React limits the number of nested updates to prevent infinite loops.,,"{""file"":""unknown"",""function"":""componentDidCatch"",""component"":""ErrorBoundary"",""operation"":""React component render"",""stack"":""\n    at FileBrowser (http://localhost:5173/src/components/FileBrowser.tsx:10:35)\n    at main (<anonymous>)\n    at div (<anonymous>)\n    at App (http://localhost:5173/src/App.tsx?t=1762618390545:39:60)\n    at ProjectsProvider (http://localhost:5173/src/contexts/ProjectsContext.tsx:7:36)\n    at ErrorBoundary (http://localhost:5173/src/components/ErrorBoundary.tsx:6:5)\n    at QueryClientProvider (http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=2fd7f280:3025:3)""}",critical,,2025-11-08 19:31:03,0,Maximum update depth exceeded. This can happen when a component repeatedly calls setState inside componentWillUpdate or componentDidUpdate. React limits the number of nested updates to prevent infinite loops.,"{""file"":""unknown"",""function"":""componentDidCatch"",""component"":""ErrorBoundary"",""operation"":""React component render"",""stack"":""\n at FileBrowser (http://localhost:5173/src/components/FileBrowser.tsx:10:35)\n at main (<anonymous>)\n at div (<anonymous>)\n at App (http://localhost:5173/src/App.tsx?t=1762618390545:39:60)\n at ProjectsProvider (http://localhost:5173/src/contexts/ProjectsContext.tsx:7:36)\n at ErrorBoundary (http://localhost:5173/src/components/ErrorBoundary.tsx:6:5)\n at QueryClientProvider (http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=2fd7f280:3025:3)""}",,,"Maximum update depth exceeded. This can happen when a component repeatedly calls setState inside componentWillUpdate or componentDidUpdate. React limits the number of nested updates to prevent infinite loops. {""file"":""unknown"",""function"":""componentDidCatch"",""component"":""ErrorBoundary"",""operation"":""React component render"",""stack"":""\n at FileBrowser (http://localhost:5173/src/components/FileBrowser.tsx:10:35)\n at main (<anonymous>)\n at div (<anonymous>)\n at App (http://localhost:5173/src/App.tsx?t=1762618390545:39:60)\n at ProjectsProvider (http://localhost:5173/src/contexts/ProjectsContext.tsx:7:36)\n at ErrorBoundary (http://localhost:5173/src/components/ErrorBoundary.tsx:6:5)\n at QueryClientProvider (http://localhost:5173/node_modules/.vite/deps/@tanstack_react-query.js?v=2fd7f280:3025:3)""} ",208,597,0,0,0,1,0,0,1,0,0,0,19,5,0,4,0,unknown,unknown,0
98,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:31,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
97,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:26,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
96,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:21,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
95,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:16,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
94,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:11,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
93,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:06,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
92,runtime_error,,No active window found,,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",low,,2025-11-08 16:48:01,0,No active window found,"{""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""}",,,"No active window found {""file"":""unknown"",""function"":""fetchActivity"",""component"":""ActivityMonitor"",""operation"":""fetch current activity"",""stack"":""""} ",22,123,0,0,0,0,0,0,1,0,0,0,16,5,1,1,0,unknown,unknown,0
